name,x,y,z,group,rank
atlas.Putamen l,-24.90149125,0.48264984,0.33954689,0,96
atlas.Pallidum r,19.85048905,-4.00512343,-1.18910107,0,97
atlas.Pallidum l,-18.95779356,-5.12035102,-1.33389051,0,98
atlas.Hippocampus r,26.49706667,-20.95893333,-14.25013333,0,99
atlas.Hippocampus l,-25.17773788,-23.19161090,-13.80594092,0,100
atlas.Amygdala r,23.08748616,-3.98523440,-17.68696936,0,101
atlas.Amygdala l,-22.99501151,-4.94666155,-17.73177283,0,102
atlas.Accumbens r,9.36826347,12.20359281,-6.53443114,0,103
atlas.Accumbens l,-9.46388262,11.49661400,-7.17042889,0,104
atlas.Brain-Stem,0.48253183,-29.72624148,-34.97725216,0,105
atlas.Cereb1 l,-36.46965111,-66.03260581,-29.77706973,0,106
atlas.Cereb1 r,37.64117073,-66.95131707,-29.80531707,0,107
atlas.Cereb2 l,-28.63584385,-73.26031809,-38.20373291,0,108
atlas.Cereb2 r,32.05745980,-69.01590562,-39.94870290,0,109
atlas.Cereb3 l,-8.80037313,-37.22294776,-18.58115672,0,110
atlas.Cereb3 r,11.98092105,-34.90855263,-19.26513158,0,111
atlas.Cereb45 l,-13.94120153,-44.19812527,-17.14131515,0,112
atlas.Cereb45 r,16.17953321,-44.27089567,-18.57390784,0,113
atlas.Cereb6 l,-22.82940198,-58.04345698,-23.68111970,0,114
atlas.Cereb6 r,24.46194417,-57.53716326,-24.51241480,0,115
atlas.Cereb7 l,-32.35783574,-59.82021987,-45.44945031,0,116
atlas.Cereb7 r,33.13924350,-63.17801418,-48.45721040,0,117
atlas.Cereb8 l,-25.75142478,-54.51908549,-47.68462558,0,118
atlas.Cereb8 r,25.06399564,-56.33982011,-49.46802944,0,119
atlas.Cereb9 l,-10.94742923,-48.95046216,-45.90294627,0,120
atlas.Cereb9 r,9.46022903,-49.49953575,-46.32683380,0,121
atlas.Cereb10 l,-22.61420017,-33.79982891,-41.76475620,0,122
atlas.Cereb10 r,25.99453125,-33.83828125,-41.34687500,0,123
atlas.Ver12,0.75742574,-38.79207921,-20.04950495,0,124
atlas.Ver3,1.38035126,-39.93084523,-11.39791438,0,125
atlas.Ver45,1.21387168,-52.17889266,-6.68878673,0,126
atlas.Ver6,1.17224520,-66.45204964,-15.84956751,0,127
atlas.Ver7,1.14578005,-71.93030691,-25.14066496,0,128
atlas.Ver8,1.15206186,-64.42938144,-34.07989691,0,129
atlas.Ver9,0.86466715,-54.87490856,-34.89612290,0,130
atlas.Ver10,0.35583524,-45.79977117,-31.68306636,0,131
dmn.MPFC,-0.50000000,48.50000000,-4.50000000,0,132
dmn.PCC,-5.50000000,-51.50000000,39.50000000,0,133
dmn.LLP,-45.50000000,-69.50000000,35.50000000,0,134
dmn.RLP,45.50000000,-69.50000000,35.50000000,0,135
